Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
30,1,1uF,"CAPACITOR, CERAMIC X5R, 1uF, 10V, -10%/+10%, -55DEGC/+85DEGC, 0402, SMD",02-07611,C40,,,19408,,,
31,1,10nF,"CAPACITOR, CERAMIC X7R, 10nF, 25V, -10%/+10%, -55DEGC/+125DEGC, 0402, SMD",02-07775,C41,,,18189,,,
32,1,1uF,"CAPACITOR, CERAMIC X5R, 1uF, 10V, -10%/+10%, -55DEGC/+85DEGC, 0402, SMD",02-07611,C42,,,19425,,,
33,1,100nF,"CAPACITOR, CERAMIC X7R, 100nF, 6.3V, -10%/+10%, -55DEGC/+125DEGC, 0402, SMD",02-07610,C43,,,19419,,,
34,1,1uF,"CAPACITOR, CERAMIC X5R, 1uF, 10V, -10%/+10%, -55DEGC/+85DEGC, 0402, SMD",02-07611,C44,,,19422,,,
35,1,2.2uF,"CAPACITOR, CERAMIC X5R, 2.2uF, 6.3V, -10%/+10%, -55DEGC/+85DEGC, 0402, SMD",02-07624,C45,,,18254,,,
36,1,100nF,"CAPACITOR, CERAMIC X7R, 100nF, 6.3V, -10%/+10%, -55DEGC/+125DEGC, 0402, SMD",02-07610,C46,,,19414,,,
37,1,15pF,"CAPACITOR, CERAMIC C0G/NP0, 15pF, 50V, -5%/+5%, -55DEGC/+125DEGC, 0402, SMD",02-07776,C47,,,19444,,,
38,1,2.2uF,"CAPACITOR, CERAMIC X5R, 2.2uF, 6.3V, -10%/+10%, -55DEGC/+85DEGC, 0402, SMD",02-07624,C48,,,18219,,,
39,1,2.2uF,"CAPACITOR, CERAMIC X5R, 2.2uF, 6.3V, -10%/+10%, -55DEGC/+85DEGC, 0402, SMD",02-07624,C49,,,18260,,,
40,1,10nF,"CAPACITOR, CERAMIC X7R, 10nF, 25V, -10%/+10%, -55DEGC/+125DEGC, 0402, SMD",02-07775,C50,,,19435,,,
41,1,1.8pF,"CAPACITOR, CERAMIC C0G/NP0, 1.8pF, 50V, -0.25pF, +0.25pF, -55DEGC/+125DEGC, 0402, SMD",02-07620,C51,,,21460,,,
42,1,100nF,"CAPACITOR, CERAMIC X7R, 100nF, 6.3V, -10%/+10%, -55DEGC/+125DEGC, 0402, SMD",02-07610,C52,,,21423,,,
43,1,100nF,"CAPACITOR, CERAMIC X7R, 100nF, 6.3V, -10%/+10%, -55DEGC/+125DEGC, 0402, SMD",02-07610,C53,,,21432,,,
44,1,100nF,"CAPACITOR, CERAMIC X7R, 100nF, 6.3V, -10%/+10%, -55DEGC/+125DEGC, 0402, SMD",02-07610,C54,,,21429,,,
45,1,100nF,"CAPACITOR, CERAMIC X7R, 100nF, 6.3V, -10%/+10%, -55DEGC/+125DEGC, 0402, SMD",02-07610,C55,,,21436,,,
46,1,100nF,"CAPACITOR, CERAMIC X7R, 100nF, 6.3V, -10%/+10%, -55DEGC/+125DEGC, 0402, SMD",02-07610,C56,,,21439,,,
